listing_id,host_name,last_review,price,nbhood_full,description,room_type
9783,Ssameer Or Trip,2019-07-01,50.0,"Manhattan, Harlem",back room/bunk beds,private room
10452,Angela,2019-05-12,70.0,"Brooklyn, Bedford-Stuyvesant",Large B&B Style rooms,private room
10962,Laurie,2019-06-21,89.0,"Brooklyn, South Slope","Lovely room 2 & garden; Best area, Legal rental",private room
11708,Tyrome,2019-06-22,85.0,"Brooklyn, Bushwick",Cute apt in artist's home,entire home/apt
12048,Ben,2019-07-05,40.0,"Manhattan, Lower East Side",LowerEastSide apt share shortterm 1,shared room
12192,Edward,2019-06-21,68.0,"Manhattan, East Village",ENJOY Downtown NYC!,private room
12299,Abdul,2019-05-27,120.0,"Brooklyn, South Slope",Beautiful Sunny Park Slope Brooklyn,entire home/apt
12318,Cyn,2019-06-16,135.0,"Manhattan, Upper West Side",West Side Retreat,private room
12343,Earl,2019-06-13,150.0,"Manhattan, Harlem",BEST BET IN HARLEM,entire home/apt
12627,Rana,2019-06-05,150.0,"Brooklyn, Prospect-Lefferts Gardens",Entire apartment in central Brooklyn neighborhood.,entire home/apt
12937,Orestes,2019-07-01,130.0,"Queens, Long Island City","1 Stop fr. Manhattan! Private Suite,Landmark Block",private room
12940,Adreinne,2019-05-25,110.0,"Brooklyn, Bedford-Stuyvesant",Charming Brownstone 3 - Near PRATT,entire home/apt
13394,Alexander,2019-06-17,80.0,"Brooklyn, Fort Greene",Fort Greene brownstone,private room
13808,JT And Tiziana,2019-06-16,80.0,"Brooklyn, Bedford-Stuyvesant",Blue Room for 2 in Brownstone for $1350 monthly,private room
14287,Joya,2019-07-07,151.0,"Manhattan, Upper West Side",Cozy 1BD on Central Park West in New York City,entire home/apt
14290,James,2019-05-17,228.0,"Brooklyn, Williamsburg",* ORIGINAL BROOKLYN LOFT *,entire home/apt
14314,Jeanne,2019-06-29,144.0,"Brooklyn, Greenpoint",Greenpoint Place...Has It All!,entire home/apt
14322,Francesca,2019-03-25,200.0,"Manhattan, Kips Bay",Beautiful Apartment in Manhattan!!!,entire home/apt
14377,Joanna,2019-06-22,150.0,"Brooklyn, Williamsburg",Williamsburg 1 bedroom Apartment,entire home/apt
14991,Bianca,2019-05-18,110.0,"Manhattan, Lower East Side","Great Location, Manhattan Bedroom!",private room
15220,Luiz,2019-06-09,69.0,"Manhattan, Hell's Kitchen",Best Location in NYC! TIMES SQUARE!,private room
15338,Andrea,2019-06-04,49.0,"Brooklyn, Greenpoint",Room in Greenpoint Loft w/ Roof,private room
15341,Ted,2019-06-29,180.0,"Manhattan, SoHo",**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt
15385,Cristina,2019-06-30,80.0,"Brooklyn, Williamsburg","Very, very cozy place",private room
15711,D,2019-03-30,250.0,"Manhattan, Upper East Side",2 bedroom - Upper East Side-great for kids,entire home/apt
16326,Dimitri,2019-01-26,200.0,"Brooklyn, Prospect Heights",Comfortable 4-bedroom apt in family house.,entire home/apt
16421,Mark,2019-05-16,52.0,"Manhattan, Hell's Kitchen",Your Heaven in Hells Kitchen,private room
16580,Reka,2019-07-01,80.0,"Manhattan, East Village","Sunny, Modern room in East Village!",private room
16595,Daniel,2019-06-23,275.0,"Brooklyn, Williamsburg",*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt
16821,Casey,2019-06-21,99.0,"Manhattan, East Village",Large Room in Amazing East Village Apt,private room
16974,Robin,2019-06-23,225.0,"Manhattan, East Harlem",SpaHa Loft: Enormous and Bright,entire home/apt
17092,Enzo,2019-06-01,51.0,"Manhattan, Hell's Kitchen",Cool Room in Hell's Kitchen,private room
17693,Tye And Etienne,2019-06-18,65.0,"Manhattan, Washington Heights","HARLEM, NEW YORK WELCOMES YOU!!",private room
17747,George,2019-06-26,105.0,"Brooklyn, Clinton Hill",BLUE TRIM GUEST HOUSE,private room
18127,Josh,2019-01-02,190.0,"Manhattan, East Village",Charming East Village One Bedroom Flat,entire home/apt
18152,Victoria,2019-07-09,200.0,"Manhattan, Upper East Side",Manhattan Room,private room
18198,Justin,2019-05-31,70.0,"Queens, Woodside",Little King of Queens,private room
18590,Blaise,2019-06-16,95.0,"Brooklyn, Fort Greene",Fort Greene Retreat on the Park,private room
18728,DAVID And RICK,2019-05-28,150.0,"Manhattan, Chelsea",Beautiful Meatpacking District Loft,private room
18764,Lulú,2019-04-22,145.0,"Brooklyn, Williamsburg",Cozy 2 BR in Williamsburg,private room
19159,Sybilla,2019-03-23,110.0,"Manhattan, Harlem",Spacious luminous apt Upper West NYC,entire home/apt
19169,JoLynn,2019-06-30,285.0,"Manhattan, Lower East Side",Entire 2 Bedroom - Large & Sunny,entire home/apt
19282,Gaia,2019-06-15,130.0,"Brooklyn, Flatbush","Sunny, Spacious Top Floor Haven",entire home/apt
19319,Ana,2019-04-08,94.0,"Manhattan, Lower East Side",Private room Great Deal at Lower East Side,private room
20299,Edward,2019-06-30,60.0,"Manhattan, East Village",Oh glorious spring!,private room
20611,Lulú,2019-06-22,85.0,"Brooklyn, Williamsburg",Cozy Bedroom in Williamsburg 3 BR,private room
20724,Augustin,2019-05-26,65.0,"Brooklyn, Bushwick",Sunny room+Pvte office in huge loft,private room
20734,Sean & Lynette,2019-06-27,131.0,"Brooklyn, Prospect Heights",Spacious Prospect Heights Apartment,entire home/apt
20755,Erica,2019-05-31,98.0,"Brooklyn, Clinton Hill","Large Parlor Room, Landmark Home 1 block to PRATT",private room
20853,Tracy,2019-05-21,250.0,"Brooklyn, Prospect Heights",2-bed brownstone duplex + garden,entire home/apt
21293,Tyrome,2019-06-18,105.0,"Brooklyn, Bushwick",Sunny Apartment in Artist Home,entire home/apt
21456,Dana,2019-07-07,140.0,"Manhattan, Upper West Side",Light-filled classic Central Park,entire home/apt
21794,Olan,2019-05-01,98.0,"Manhattan, Chelsea",COZY QUIET room 4 DOOGLERS!,private room
22918,Ssameer Or Trip,2019-01-03,60.0,"Manhattan, Harlem",loft bed - near transportation-15min to times sq,private room
23135,Annette,2019-06-24,175.0,"Brooklyn, Carroll Gardens",House On Henry (3rd FLR Suite),entire home/apt
23686,Ann,2019-05-18,500.0,"Manhattan, West Village",2000 SF 3br 2bath West Village private  townhouse,entire home/apt
24143,Seth,2019-05-29,101.0,"Brooklyn, Williamsburg","Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",private room
25235,Shelly,2019-06-28,125.0,"Brooklyn, Bedford-Stuyvesant",Large 2 Bedroom Great for Groups!,entire home/apt
25696,Dena,2019-06-23,100.0,"Manhattan, Harlem","1,800 sq foot in luxury building",private room
26362,Luiz,2019-06-16,59.0,"Manhattan, Hell's Kitchen","Times Square, Safe, Clean and Cozy!",private room
26520,Erica,2019-06-02,125.0,"Brooklyn, Clinton Hill","Cozy Room #3, Landmark Home 1 Block to PRATT",private room
26969,Alexandra,2019-06-23,325.0,"Brooklyn, Williamsburg",2 story family home in Williamsburg,entire home/apt
27006,Stacy,2019-04-27,235.0,"Manhattan, Upper West Side",Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt
27385,Bruce,2019-06-07,225.0,"Manhattan, East Village",Great Large 1 BR apt  in East Village!,entire home/apt
27531,Evelyn,2019-05-20,99.0,"Brooklyn, South Slope",Eveland Private Bed & Living Room w/ Own Entrance,private room
27644,Emma,2019-07-01,170.0,"Manhattan, Harlem",Sugar Hill Rest Stop,entire home/apt
27759,Sylvie,2019-06-26,170.0,"Manhattan, Upper West Side",apartment next to Central park,entire home/apt
29013,Angela,2019-05-14,70.0,"Brooklyn, Bedford-Stuyvesant",B & B Room 1,private room
29455,Laurine,2019-06-20,120.0,"Manhattan, Harlem",ACCOMMODATIONS GALORE #1,entire home/apt
29628,Chris,2019-07-03,89.0,"Brooklyn, Clinton Hill",Sunny Room in New Condo,private room
29683,Uli,2019-06-25,185.0,"Manhattan, East Village",Stylish & Sleek Apartment Near SoHo!,entire home/apt
30031,Sol,2019-05-20,50.0,"Brooklyn, Greenpoint",NYC artists‚Äô loft with roof deck,private room
30927,Cs,2019-06-14,105.0,"Manhattan, Lower East Side",Unique & Charming small 1br Apt. LES,entire home/apt
31130,Lara,2019-05-26,130.0,"Manhattan, Hell's Kitchen",Most Central Location!,private room
31555,Tom,2019-07-01,115.0,"Manhattan, West Village",Luminous Beautiful West Village Studio,entire home/apt
31902,Sunder,2019-01-01,77.0,"Brooklyn, Flatlands",Sanctuary in East Flatbush,private room
31994,Waldemar,2019-06-24,76.0,"Brooklyn, Clinton Hill",Room with En Suite Bathroom & Deck,private room
32023,Khem,2019-06-23,125.0,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH,entire home/apt
32037,Sahr,2019-07-01,135.0,"Brooklyn, Clinton Hill",Huge Private  Floor at The Waverly,private room
32965,Khem,2019-06-20,115.0,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH GARDEN,entire home/apt
32969,Katherine,2019-07-02,160.0,"Brooklyn, Williamsburg",Light filled Williamsburg Apartment,entire home/apt
33009,Ming,2019-06-17,195.0,"Brooklyn, Williamsburg",Retreat in Williamsburg,entire home/apt
33014,Paula,2019-06-17,195.0,"Manhattan, East Village",NYC Zen,entire home/apt
33223,Lulú,2019-06-22,80.0,"Brooklyn, Williamsburg",Cozy BR in Wiliamsburg 3 Bedroom,private room
34760,Obed,2019-06-29,44.0,"Brooklyn, Fort Greene",Sunny Room in Old Historical Brooklyn Townhouse,private room
35526,Karen,2019-06-22,156.0,"Manhattan, West Village",Sun Filled Classic West Village Apt,private room
36133,White,2019-06-13,125.0,"Brooklyn, Williamsburg",Classic Artist Loft Williamsburg,private room
36703,Karene,2019-03-31,225.0,"Manhattan, West Village","Sunny, clean 1 bdrm in W. Village",entire home/apt
38638,Sara,2019-06-26,219.0,"Manhattan, Upper East Side",Light and Airy Upper East Side 1 BDR apartment,entire home/apt
39267,Marie,2019-06-08,99.0,"Manhattan, Upper East Side",CENTRAL PARK LOFT all for YOU,entire home/apt
39282,Gus,2019-05-28,69.0,"Brooklyn, Williamsburg",Indie-Chic Share In Williamsburg,private room
39593,Myung,2019-04-12,79.0,"Queens, Sunnyside","A room w/ a Manhattan view, longer stay",private room
39704,Renée,2019-06-22,135.0,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny 1BR w/W&D",entire home/apt
41348,Syl,2019-07-06,250.0,"Brooklyn, Gowanus",* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt
42580,Waldemar,2019-06-24,70.0,"Brooklyn, Clinton Hill",Parlor Room In Victorian Townhouse,private room
42729,Annette,2019-06-18,165.0,"Brooklyn, Carroll Gardens",House On Henry (2nd FLR Suite),entire home/apt
42882,Newyorkroomwithaview,2019-06-13,70.0,"Staten Island, St. George",New York room with a view,private room
43957,Tessa,2019-06-19,50.0,"Brooklyn, Bushwick",Sunny cozy room in Brklyn townhouse,private room
44096,Waundell,2019-07-04,40.0,"Bronx, Highbridge",Room with a View,private room
44212,Bruce,2019-06-23,125.0,"Manhattan, East Village",West Inn 2 - East Village,private room
44221,Coral,2019-06-20,196.0,"Manhattan, Financial District",Financial District Luxury Loft,entire home/apt
44229,Carol,2019-06-24,110.0,"Brooklyn, Fort Greene",BROOKLYN VICTORIAN STYLE SUITE.....,private room
44288,Sara,2019-06-01,170.0,"Manhattan, West Village",Your own Lovely West Village Studio,entire home/apt
44506,Laurine,2019-05-26,165.0,"Manhattan, Harlem",ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt
45556,Doug,2019-06-30,65.0,"Brooklyn, Fort Greene","Fort Greene, Brooklyn: Center Bedroom",private room
45910,Mark,2019-05-12,350.0,"Queens, Ridgewood",Beautiful Queens Brownstone! - 5BR,entire home/apt
45936,Rahul,2019-05-14,99.0,"Manhattan, Morningside Heights",Couldn't Be Closer To Columbia Uni,private room
45940,Miyoung,2019-04-08,200.0,"Brooklyn, Williamsburg",Bright Spacious Luxury Condo,entire home/apt
46544,Monica,2019-06-05,150.0,"Brooklyn, Park Slope",Park Slope haven 15 mins from Soho,entire home/apt
46723,Marylyn,2019-05-19,90.0,"Brooklyn, Bedford-Stuyvesant",SAFE  AND BEAUTIFUL ACCOMODATION,private room
46911,Kathleen R.,2019-06-24,120.0,"Brooklyn, Prospect Heights",Large Room in private Brownstone in Park Slope,private room
47199,Teresa,2019-06-24,75.0,"Manhattan, Upper East Side","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room
47926,Claudia,2019-06-26,275.0,"Manhattan, Hell's Kitchen",LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt
48719,Shane,2019-06-15,299.0,"Manhattan, Lower East Side",Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt
50447,Laurie,2019-06-22,135.0,"Brooklyn, South Slope",Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt
51485,Erina,2019-06-22,83.0,"Manhattan, Lower East Side",Lower East Side $57~/night,private room
51572,Lee,2019-06-18,123.0,"Manhattan, Chelsea",Prime Location in Manhattan,private room
51850,Jullett,2019-05-20,55.0,"Queens, Jamaica",( F) Excellent/Pvt Rm,private room
53137,Marlaine,2019-07-01,195.0,"Manhattan, Hell's Kitchen","Quiet, sunny Midtown Manhattan apt.",entire home/apt
53477,Mark,2019-04-27,265.0,"Queens, Middle Village",3 floors of luxury!,entire home/apt
54158,Bob,2019-06-20,249.0,"Brooklyn, Williamsburg",The Institute‚ÄîHeart of Williamsburg,entire home/apt
54508,Kathleen R.,2019-06-06,100.0,"Brooklyn, Prospect Heights",Sml Rm in pr Brst  Park Sl great for Med/students,private room
54544,Wayne,2019-06-22,121.0,"Manhattan, Harlem",City Room - Private Penthouse Apt.,entire home/apt
54626,Waundell,2019-06-30,45.0,"Bronx, Highbridge",Cozy bedroom by Yankee Stadium,private room
54860,Jenny,2019-06-23,100.0,"Manhattan, East Harlem",Great apartment with private bathroom and entrance,private room
55467,Paul,2019-07-02,140.0,"Brooklyn, Williamsburg",Private Garden Apt ‚Ä¢ New Renovation,entire home/apt
55498,Tami,2019-07-01,71.0,"Brooklyn, Bedford-Stuyvesant",Modern comfort in art infused landmark Brownstone,private room
55737,Pete,2019-05-19,199.0,"Manhattan, West Village",Sleek & Comfortable Soho Apt,entire home/apt
55959,Gus,2019-06-10,69.0,"Brooklyn, Williamsburg",Spacious Williamsburg Share w/ LOFT BED,private room
56467,Leonardo,2019-07-01,130.0,"Manhattan, East Village",Cozy East Village Railroad 1 Bed!,entire home/apt
56525,Alex,2019-06-13,195.0,"Brooklyn, Greenpoint",1 Bedroom Loft w/ Private Roof Deck,entire home/apt
56859,Wayne,2019-06-03,64.0,"Manhattan, Harlem",City Room - Private & Comfy Bedroom,private room
57166,Vasili,2019-06-17,140.0,"Queens, Ditmars Steinway",Elegant NYC Pad,entire home/apt
57297,S.M.,2019-06-24,159.0,"Brooklyn, Cobble Hill","Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt
57468,Ori,2019-06-23,189.0,"Manhattan, East Village","Modern, Large East Village Loft",entire home/apt
57618,Ana,2019-06-09,250.0,"Manhattan, Hell's Kitchen","Great new apt, close to everything",entire home/apt
57740,I,2019-05-24,239.0,"Manhattan, East Village",Quiet & Clean Retreat in the City,entire home/apt
57754,R,2019-06-30,305.0,"Manhattan, Flatiron District",Stylish Large Gramercy Loft!,entire home/apt
57874,Simon,2019-06-26,155.0,"Manhattan, Harlem",The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt
58059,Agnes,2019-07-03,60.0,"Manhattan, Harlem",PRIVATE Room on Historic Sugar Hill,private room
58062,Linda,2019-05-17,135.0,"Brooklyn, Windsor Terrace",South Slope Green,private room
58467,Dave,2019-05-08,120.0,"Manhattan, Roosevelt Island","17 Flr. Manhattan Views, Nr. Subway",private room
59014,Drica,2019-01-02,150.0,"Manhattan, Lower East Side","Spacious 1BR, Adorable Clean Quiet",entire home/apt
59642,Betty,2019-05-19,135.0,"Brooklyn, Greenpoint",Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt
59709,Ricardo & Ashlie,2019-07-01,250.0,"Manhattan, Chinatown","Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
60164,Harrison,2019-06-23,500.0,"Manhattan, SoHo","Beautiful, elegant 3 bed SOHO loft",entire home/apt
60457,Jessica,2019-05-11,225.0,"Manhattan, Greenwich Village",Spacious Greenwich Village Apt,entire home/apt
60666,Wayne,2019-06-11,92.0,"Manhattan, Harlem",City Room - Private Luxury Suite,private room
60680,Mich,2019-06-20,99.0,"Manhattan, East Village",The gem of the East Village,entire home/apt
60948,Laurine,2019-06-20,140.0,"Manhattan, East Harlem",ACCOMMODATIONS GALORE #2,entire home/apt
61406,Bethania,2019-06-01,80.0,"Manhattan, Harlem",Great room in great location,private room
61492,Tunji,2019-06-23,120.0,"Manhattan, Chinatown",Exclusive Room with Private Bath in  LES,private room
61509,Anna/Fonzy,2019-04-30,110.0,"Manhattan, Midtown","Quiet, clean midtown apt w. elevato",entire home/apt
62095,Colette&Sean,2019-06-14,65.0,"Brooklyn, East Flatbush",BK Sweet Suite w/Kitchen&FullBath,entire home/apt
62427,Brie,2019-05-26,130.0,"Manhattan, East Village",Great East Village Apartment Rental,entire home/apt
62430,Sheila,2019-06-22,99.0,"Brooklyn, Bushwick",BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
62452,Lissette,2019-06-25,36.0,"Staten Island, Tompkinsville",A SpeciaL!! Private Room in NY,private room
62461,Lissette,2019-06-10,37.0,"Staten Island, Tompkinsville",B NYC Staten Alternative...,private room
62787,Lissette,2019-07-02,37.0,"Staten Island, Tompkinsville",C Private Room By The Ferry,private room
62891,Olivia,2019-05-24,175.0,"Manhattan, East Village",Smallest House In The Village,entire home/apt
62903,Daniel,2019-06-21,205.0,"Manhattan, Chelsea",Beautiful modern studio apartment in heart of NYC,entire home/apt
62925,Maya,2019-06-16,285.0,"Brooklyn, Greenpoint",Beautiful Landmarked Duplex,entire home/apt
63299,Scott,2019-06-23,59.0,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room
63320,Lissette,2019-07-02,36.0,"Staten Island, Tompkinsville",D Private Che@p Room 2 Explore NYC,private room
63360,Dennis & Naoko,2019-06-24,99.0,"Queens, Astoria",Safe cute near subway& Manhattan NY NY retro style,entire home/apt
63546,Antonín,2019-05-16,39.0,"Brooklyn, Kensington",Large and Cozy Private Bedroom,private room
63610,Vie,2019-06-27,105.0,"Bronx, Eastchester",DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt
63657,Renée,2019-06-25,135.0,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt
63693,Olivia,2019-06-19,390.0,"Manhattan, East Village",Cottage in the Village,entire home/apt
64000,Kristian & Di,2019-01-07,60.0,"Brooklyn, Williamsburg",Williamsburg near soho. / loftbed,private room
64107,Niya,2019-06-24,100.0,"Brooklyn, Crown Heights",BROOKLYN  STUDIO APARTMENT,private room
64277,Helene,2019-01-02,70.0,"Brooklyn, Bedford-Stuyvesant",BEDROOM2 FOR RENT  10min from Manh,private room
64314,Debbie,2019-05-26,110.0,"Brooklyn, Crown Heights",cozy bedroom in lovely garden apt,private room
64365,Anthony,2019-06-27,60.0,"Brooklyn, Crown Heights",Crown Heights Garden Apt.,private room
64707,Tilly,2019-01-02,90.0,"Manhattan, Little Italy",Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt
64837,Edward,2019-06-23,68.0,"Manhattan, East Village",ENJOY Downtown NYC!!,private room
65019,Claire,2019-07-06,115.0,"Manhattan, Upper West Side",Charming UWS Treehouse Apt,entire home/apt
65268,Juhli,2019-01-05,75.0,"Brooklyn, Bedford-Stuyvesant",Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private room
65562,Mary D,2019-01-03,129.0,"Manhattan, East Village",CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt
65615,Valerie,2019-06-29,130.0,"Brooklyn, Williamsburg",Farmhouse Apartment in Williamsburg,entire home/apt
65660,Larissa,2019-07-07,95.0,"Brooklyn, Williamsburg",Bright+Spacious Williamsburg Abode!,entire home/apt
65813,Eric,2019-01-02,75.0,"Manhattan, Harlem","Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private room
66008,Melissa,2019-07-01,190.0,"Brooklyn, Carroll Gardens",CHARMING CARROLL GARDENS APT.,entire home/apt
66026,Alex,2019-06-30,49.0,"Brooklyn, Crown Heights",Private Bedroom Brownstone Brooklyn,private room
66251,Samir,2019-06-25,212.0,"Manhattan, East Village",East Village Loft with Piano & Patio,entire home/apt
66275,Tony,2019-06-23,95.0,"Manhattan, Lower East Side",Lower East Side Magic Room,private room
66451,Luis Fernando,2019-02-16,140.0,"Brooklyn, Williamsburg",**Fantastic Williamsburg Apt**,entire home/apt
66718,Henning,2019-06-23,135.0,"Manhattan, Harlem",West Harlem Home Base - Eco-Apt.,entire home/apt
66741,Stefano,2019-06-23,150.0,"Brooklyn, Park Slope",Charming Garden Apt in Park Slope,entire home/apt
66974,Jana,2019-07-01,190.0,"Brooklyn, Gowanus","Lovely, Modern, Garden Apartment",entire home/apt
67288,Per,2019-06-15,124.0,"Manhattan, East Harlem",Central Park 1BR sunny condo,entire home/apt
67299,Adrienne,2019-05-06,135.0,"Brooklyn, Williamsburg",Cozy Garden Apartment  in Williamsburg,entire home/apt
67397,Elise,2019-06-22,122.0,"Manhattan, Morningside Heights",SoHa comfort-by NW Central Park!,private room
68099,Deda,2019-06-25,109.0,"Manhattan, Upper West Side",Cozy room in Upper West Side,private room
68403,Naimah,2019-06-24,145.0,"Brooklyn, Bedford-Stuyvesant",The Cozy Brownstone Inn (discount)!,entire home/apt
68735,Violetta,2019-06-13,195.0,"Manhattan, Upper West Side",Prewar Penthouse w Private Terrace,entire home/apt
68765,Jenna,2019-06-27,250.0,"Brooklyn, Carroll Gardens",Designer 2.5 BR Loft in Carroll Gardens by Subway,entire home/apt
68974,Alicia,2019-06-20,575.0,"Manhattan, Little Italy",Unique spacious loft on the Bowery,entire home/apt
69894,Silvia,2019-06-11,150.0,"Manhattan, Upper West Side","Nice renovated apt, prime location!",entire home/apt
69921,Joab,2019-06-29,70.0,"Brooklyn, Bushwick",Brooklyn Writer's Nook,private room
70095,Mary And Geoff,2019-06-30,90.0,"Manhattan, Inwood",Private Bedroom in Large NYC Apartment,private room
70128,Eyal,2019-01-10,65.0,"Manhattan, East Village","Large, Sunny Room East Village NYC",private room
70609,Bruce,2019-06-16,500.0,"Manhattan, East Village",Great Large 3 BR/2 Bath Duplex with Private Patio!,entire home/apt
71010,Kurt,2019-05-24,250.0,"Manhattan, Washington Heights",All That Jazz. Uptown style on Sugar Hill.,entire home/apt
71248,Jennifer,2019-06-17,125.0,"Manhattan, Chinatown",Bright and lovely 1 bdrm apt in LES,entire home/apt
71366,Ruperto,2019-06-25,200.0,"Manhattan, West Village",Beautiful One Bed West Village - 4 Month Special,entire home/apt
71812,Thai,2019-01-02,90.0,"Bronx, Kingsbridge",Condo Apartment with laundry in unit,entire home/apt
72190,Hudson,2019-02-15,110.0,"Manhattan, Upper West Side",1BR: See Central Park from Terrace!,entire home/apt
72265,Vanessa,2019-06-16,59.0,"Brooklyn, Greenpoint",Private room in cozy Greenpoint,private room
74073,Daniel,2019-06-23,195.0,"Brooklyn, Williamsburg",Food & Music Dream Apartment in Williamsburg,entire home/apt
74240,Patty,2019-06-07,169.0,"Brooklyn, Williamsburg",French Garden cottage off Bedford,entire home/apt
74680,Nazleen,2019-05-31,115.0,"Queens, Astoria",One Bedroom Mini studio - Free WIFI,entire home/apt
75193,Scott,2019-06-22,69.0,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ King Bed in Williamsburg,private room
75635,Patricia,2019-06-27,150.0,"Manhattan, Lower East Side",Bright Cozy Chinatown Studio Apt.,entire home/apt
76761,Evelyn,2019-06-28,169.0,"Brooklyn, South Slope",Eveland the Place to Stay & Enjoy a 5-‚≠êÔ∏è 2bdrm,entire home/apt
77765,The Box House Hotel,2019-07-01,179.0,"Brooklyn, Greenpoint",Superior @ Box House,private room
77936,Moss Owen,2019-06-14,150.0,"Manhattan, Hell's Kitchen",Hells Kitchen Garden of Eden,private room
79067,Bliss,2019-04-20,350.0,"Brooklyn, Clinton Hill",Lovely 3 bedroom in Italianate Brownstone w/garden,entire home/apt
79782,Pam,2019-03-31,120.0,"Brooklyn, Williamsburg","Williamsburg HUGE, PRIVATE BATH - Next to Train!",private room
80493,Jennifer,2019-07-04,71.0,"Manhattan, East Village",Cozy room in East Village with AC,private room
80700,The Box House Hotel,2019-05-24,349.0,"Brooklyn, Greenpoint",Loft w/ Terrace @ Box House Hotel,private room
82550,Christopher,2019-06-30,200.0,"Brooklyn, Brooklyn Heights",Columbia Castle 2 BR,entire home/apt
82638,Sarah,2019-06-06,169.0,"Manhattan, East Village","Charming Artist's Flat, East Village",entire home/apt
